No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
28,Pasar Cipete,25000,25000,25000,25000,25000,25000,25000,22000,22000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,27000,30000,25700,22000
29,Pasar Pesanggrahan,28000,28000,25000,25000,28000,28000,30000,30000,30000,28000,35000,30000,35000,28000,35000,35000,30000,30000,35000,37000,28000,35000,35000,35000,22000,40000,35000,36000,32000,32000,40000,31333,22000
30,Pasar Pondok Labu,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,35000,30000,30000,30000,35000,29667,25000
31,Pasar Lenteng Agung,30000,30000,30000,30000,30000,30000,26000,26000,26000,26000,26000,27000,26000,26000,26000,26000,25000,25000,25000,25000,26000,26000,25000,26000,26000,26000,26000,25000,25000,25000,30000,26567,25000
32,Pasar Mampang Prapatan,30000,28000,28000,28000,28000,26000,26000,26000,26000,26000,26000,26000,26000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,30000,30000,26000,26000,32000,32000,30000,32000,26533,24000
33,Pasar Tebet Barat,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,36833,30000
34,Pasar Rumput,30000,30000,30000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,28000,28000,28000,30000,28000,25000,27000,25000,25000,25000,30000,26633,25000
35,Pasar Tomang Barat,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,35000,34000,30000
36,Pasar Cengkareng,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,45000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,45000,35333,35000
37,Pasar Kalideres,30000,30000,30000,30000,30000,30000,25000,25000,28000,25000,25000,25000,28000,30000,30000,30000,30000,28000,28000,28000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,29167,25000
38,Pasar Pos Pengumben,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,32000,32000,32000,32000,32000,32000,30000,30000,35000,35000,35000,35000,35000,35000,30067,25000
39,Pasar Pal Merah,30000,30000,30000,25000,35000,28000,25000,30000,30000,30000,32000,25000,30000,30000,30000,30000,30000,30000,30000,32000,30000,33000,33000,30000,30000,30000,30000,30000,30000,33000,35000,30033,25000
40,Pasar Jembatan Lima,25000,25000,25000,25000,25000,20000,20000,20000,23000,20000,20000,23000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,28000,25000,25000,25000,25000,25000,25000,25000,28000,22467,20000
41,Pasar Kelapa Gading,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,28000,30000,30000,30000,30000,30000,26433,25000
42,Pasar Pademangan Timur,25000,25000,25000,25000,25000,25000,25000,25000,27000,25000,25000,25000,25000,25000,25000,25000,25000,25000,27000,27000,27000,27000,27000,27000,27000,27000,30000,30000,30000,30000,30000,26267,25000
43,Pasar Pluit,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,38000,35000
44,Pasar Kalibaru,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,26333,25000
