No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
27,Pasar Kebayoran Lama,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,35000,35000,30000,30000,30000,35000,32000,35000,32000,32000,35000,35000,35000,35000,35000,35000,35000,35000,33000,35000,35000,31677,28000
28,Pasar Cipete,30000,30000,30000,30000,30000,30000,30000,30000,30000,32000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,30548,30000
29,Pasar Pesanggrahan,28000,28000,30000,38000,38000,38000,38000,40000,40000,38000,35000,38000,32000,32000,40000,40000,36000,35000,35000,35000,30000,35000,35000,30000,30000,40000,40000,33000,35000,35000,30000,40000,35065,28000
30,Pasar Pondok Labu,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,40000,40000,33935,30000
31,Pasar Lenteng Agung,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,30000,35000,30645,30000
32,Pasar Mampang Prapatan,25000,25000,30000,30000,30000,24000,24000,24000,24000,30000,30000,25000,25000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,30000,30000,30000,30000,30000,30000,30000,27806,24000
33,Pasar Tebet Barat,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,36935,35000
34,Pasar Rumput,32000,32000,27000,30000,30000,30000,30000,30000,30000,30000,25000,30000,28000,28000,28000,32000,30000,32000,30000,32000,30000,35000,30000,30000,30000,30000,35000,35000,35000,35000,32000,35000,30742,25000
35,Pasar Tomang Barat,35000,35000,35000,35000,35000,35000,25000,35000,35000,25000,35000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,32000,32000,32000,32000,35000,28806,25000
36,Pasar Cengkareng,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,38000,32581,30000
37,Pasar Kalideres,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,33000,35000,35000,,35000,35000,30000,30000,35000,35000,30000,30000,35000,30000,30000,32000,35000,35000,35000,31500,25000
38,Pasar Pos Pengumben,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,32000,32000,32000,32000,32000,30000,30000,35000,35000,35000,35000,30000,40000,33871,30000
39,Pasar Pal Merah,26000,26000,30000,35000,36000,32000,33000,30000,30000,30000,26000,30000,30000,34000,29000,29000,28000,35000,32000,33000,32000,32000,32000,34000,35000,28000,35000,35000,35000,40000,32000,40000,31742,26000
40,Pasar Jembatan Lima,15000,18000,20000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,30000,30000,25000,25000,30000,30000,30000,25000,30000,26548,15000
41,Pasar Kelapa Gading,25000,25000,27000,27000,27000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,29387,25000
42,Pasar Pademangan Timur,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,40000,40000,33065,25000
43,Pasar Pluit,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,40968,40000
44,Pasar Kalibaru,25000,25000,28000,28000,30000,30000,30000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,30000,30000,30000,28000,28000,28000,28000,28000,28000,30000,35000,35000,35000,28000,35000,28935,25000
