No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
28,Pasar Cipete,35000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,30000,30000,30000,30000,32000,35000,35000,37000,37000,35000,35000,32000,32000,35000,35000,35000,35000,35000,30000,37000,33000,30000
29,Pasar Pesanggrahan,38000,38000,48000,48000,38000,40000,38000,38000,36000,36000,36000,36000,40000,36000,40000,35000,35000,35000,35000,35000,40000,40000,35000,30000,30000,30000,28000,30000,30000,30000,48000,36133,28000
30,Pasar Pondok Labu,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
31,Pasar Lenteng Agung,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,35000,34333,30000
32,Pasar Mampang Prapatan,40000,40000,40000,40000,40000,40000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,30000,30000,30000,30000,25000,25000,25000,25000,40000,34533,25000
33,Pasar Tebet Barat,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,45000,41500,40000
34,Pasar Rumput,40000,35000,40000,40000,40000,30000,35000,40000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,35000,35000,30000,35000,30000,25000,30000,30000,30000,30000,28000,30000,40000,34433,25000
35,Pasar Tomang Barat,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,35000,35000,35000,45000,44000,35000
36,Pasar Cengkareng,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
37,Pasar Kalideres,40000,40000,40000,40000,40000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,25000,25000,25000,25000,25000,40000,36833,25000
38,Pasar Pos Pengumben,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,45000,37667,30000
39,Pasar Pal Merah,37000,37000,37000,37000,35000,37000,40000,40000,35000,35000,35000,38000,35000,38000,35000,35000,38000,38000,37000,37000,30000,30000,25000,26000,26000,32000,30000,25000,30000,26000,40000,33867,25000
40,Pasar Jembatan Lima,33000,35000,35000,33000,27000,28000,32000,27000,30000,28000,28000,28000,30000,30000,28000,28000,28000,28000,28000,28000,28000,28000,25000,25000,25000,25000,28000,25000,15000,15000,35000,27700,15000
41,Pasar Kelapa Gading,38000,38000,38000,38000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33000,33000,33000,30000,25000,25000,25000,25000,25000,25000,25000,25000,38000,32367,25000
42,Pasar Pademangan Timur,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,28000,27000,27000,27000,27000,25000,25000,25000,27000,25000,40000,32933,25000
43,Pasar Pluit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,45000,44500,40000
44,Pasar Kalibaru,35000,35000,35000,35000,30000,30000,30000,30000,35000,30000,30000,30000,35000,35000,35000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,29833,25000
