No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
27,Pasar Kebayoran Lama,35000,30000,30000,28000,28000,30000,30000,30000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,38000,38000,38000,45000,40000,40000,40000,34000,34000,35000,45000,34355,28000
28,Pasar Cipete,27000,26000,35000,35000,35000,35000,35000,30000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,35000,35000,35000,40000,40000,35000,35000,35000,30000,30000,35000,35000,40000,33097,26000
29,Pasar Pesanggrahan,32000,32000,42000,40000,40000,40000,40000,38000,38000,40000,40000,45000,45000,45000,40000,40000,38000,45000,45000,48000,48000,48000,50000,44000,44000,45000,45000,45000,45000,44000,45000,50000,42452,32000
30,Pasar Pondok Labu,40000,36000,36000,38000,38000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,40000,36258,36000
31,Pasar Lenteng Agung,25000,25000,25000,25000,25000,25000,25000,25000,28000,27000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,35000,40000,31452,25000
32,Pasar Mampang Prapatan,30000,32000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,40000,40000,40000,38000,40000,40000,40000,40000,38000,38000,42000,42000,42000,42000,40000,40000,40000,42000,37935,30000
33,Pasar Tebet Barat,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,39516,35000
34,Pasar Rumput,30000,25000,30000,28000,25000,27000,28000,30000,30000,32000,35000,30000,32000,30000,33000,35000,35000,40000,40000,40000,42000,40000,40000,45000,42000,40000,43000,45000,45000,40000,40000,45000,35387,25000
35,Pasar Tomang Barat,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,37419,30000
36,Pasar Cengkareng,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,36645,35000
37,Pasar Kalideres,30000,30000,30000,30000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,38000,40000,40000,35000,37000,35000,40000,40000,40000,40000,40000,40000,40000,40000,34516,30000
38,Pasar Pos Pengumben,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,48000,48000,48000,48000,48000,48000,48000,48000,45000,45000,48000,43194,35000
39,Pasar Pal Merah,30000,35000,33000,30000,35000,35000,35000,35000,34000,32000,35000,30000,40000,40000,40000,40000,35000,45000,40000,40000,40000,40000,40000,45000,40000,40000,45000,45000,40000,35000,40000,45000,37710,30000
40,Pasar Jembatan Lima,25000,25000,26000,25000,25000,25000,28000,25000,28000,27000,27000,30000,32000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30097,25000
41,Pasar Kelapa Gading,30000,30000,30000,30000,28000,28000,28000,28000,28000,28000,32000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,38000,38000,38000,40000,34839,28000
42,Pasar Pademangan Timur,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,36935,30000
43,Pasar Pluit,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,42258,40000
44,Pasar Kalibaru,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,30000,40000,40000,40000,40000,40000,35000,35000,40000,35000,35000,35000,35000,35000,35000,35000,40000,34032,30000
